5   1   1   0   0   0   0   80   3   5   11   1611   -394.5   -445.9   553   0   CAL
5   2   1   0   0   0   0   80   4   2   12   1612   -360.1   -445.9   472   0   CAL
5   3   1   0   0   0   0   80   4   3   13   1613   -325.9   -445.9   379   0   CAL
5   4   1   0   0   0   0   80   4   4   14   1614   -291.5   -445.9   284   0   CAL
5   5   1   0   0   1   0   82   3   2   8   1648   -257.2   -445.9   195   0   CAL
5   6   1   0   0   1   0   82   3   3   9   1649   -222.9   -445.9   112   0   CAL
5   7   1   0   0   1   0   82   3   4   10   1650   -188.6   -445.9   111   0   CAL
5   8   1   0   0   2   0   84   1   4   2   1682   -154.4   -445.9   110   0   CAL
5   9   1   0   0   2   0   84   1   5   3   1683   -120.1   -445.9   109   0   CAL
5   10   1   0   0   2   0   84   2   2   4   1684   -85.8   -445.9   108   0   CAL
5   11   1   0   0   3   0   86   1   4   2   1722   -51.5   -445.9   107   0   CAL
5   12   1   0   0   3   0   86   1   5   3   1723   -17.1   -445.9   106   0   CAL
5   13   1   1   0   3   0   126   5   2   16   2536   17.1   -445.9   105   0   CAL
5   14   1   1   0   3   0   126   5   3   17   2537   51.5   -445.9   104   0   CAL
5   15   1   1   0   2   0   124   4   4   14   2494   85.8   -445.9   103   0   CAL
5   16   1   1   0   2   0   124   4   5   15   2495   120.1   -445.9   102   0   CAL
5   17   1   1   0   2   0   124   5   2   16   2496   154.4   -445.9   101   0   CAL
5   18   1   1   0   1   0   122   3   4   10   2450   188.6   -445.9   100   0   CAL
5   19   1   1   0   1   0   122   3   5   11   2451   222.9   -445.9   99   0   CAL
5   20   1   1   0   1   0   122   4   2   12   2452   257.2   -445.9   179   0   CAL
5   21   1   1   0   1   0   122   4   3   13   2453   291.5   -445.9   265   0   CAL
5   22   1   1   0   0   0   120   2   2   4   2404   325.9   -445.9   357   0   CAL
5   23   1   1   0   0   0   120   2   3   5   2405   360.1   -445.9   451   0   CAL
5   24   1   1   0   0   0   120   2   4   6   2406   394.5   -445.9   539   0   CAL
5   25   1   1   0   0   0   120   2   5   7   2407   428.8   -445.9   608   0   CAL
6   0   1   0   1   3   0   94   5   4   18   1898   -480.2   -411.6   656   0   CAL
6   1   1   0   1   3   0   94   5   3   17   1897   -445.9   -411.6   612   0   CAL
6   2   1   0   1   3   0   94   5   2   16   1896   -411.6   -411.6   554   0   CAL
6   3   1   0   0   0   0   80   2   5   7   1607   -377.3   -411.6   473   0   CAL
6   4   1   0   0   0   0   80   3   2   8   1608   -343.0   -411.6   380   0   CAL
6   5   1   0   0   0   0   80   3   3   9   1609   -308.7   -411.6   285   0   CAL
6   6   1   0   0   0   0   80   3   4   10   1610   -274.4   -411.6   196   0   CAL
6   7   1   0   0   1   0   82   2   3   5   1645   -240.1   -411.6   113   0   CAL
6   8   1   0   0   1   0   82   2   4   6   1646   -205.8   -411.6   50   0   CAL
6   9   1   0   0   1   0   82   2   5   7   1647   -171.5   -411.6   49   0   CAL
6   10   1   0   0   2   0   84   1   2   0   1680   -137.2   -411.6   48   0   CAL
6   11   1   0   0   2   0   84   1   3   1   1681   -102.9   -411.6   47   0   CAL
6   12   1   0   0   3   0   86   1   2   0   1720   -68.6   -411.6   46   0   CAL
6   13   1   0   0   3   0   86   1   3   1   1721   -34.3   -411.6   45   0   CAL
6   14   1   1   0   3   0   126   5   4   18   2538   0.0   -411.6   44   0   CAL
6   15   1   1   0   3   0   126   5   5   19   2539   34.3   -411.6   43   0   CAL
6   16   1   1   0   2   0   124   5   3   17   2497   68.6   -411.6   42   0   CAL
6   17   1   1   0   2   0   124   5   4   18   2498   102.9   -411.6   41   0   CAL
6   18   1   1   0   2   0   124   5   5   19   2499   137.2   -411.6   40   0   CAL
6   19   1   1   0   1   0   122   4   4   14   2454   171.5   -411.6   39   0   CAL
6   20   1   1   0   1   0   122   4   5   15   2455   205.8   -411.6   38   0   CAL
6   21   1   1   0   1   0   122   5   2   16   2456   240.1   -411.6   98   0   CAL
6   22   1   1   0   0   0   120   3   2   8   2408   274.4   -411.6   178   0   CAL
6   23   1   1   0   0   0   120   3   3   9   2409   308.7   -411.6   264   0   CAL
6   24   1   1   0   0   0   120   3   4   10   2410   343.0   -411.6   356   0   CAL
6   25   1   1   0   0   0   120   3   5   11   2411   377.3   -411.6   450   0   CAL
6   26   1   1   1   3   0   134   1   4   2   2682   411.6   -411.6   538   0   CAL
6   27   1   1   1   3   0   134   1   3   1   2681   445.9   -411.6   607   0   CAL
6   28   1   1   1   3   0   134   1   2   0   2680   480.2   -411.6   655   0   CAL
7   0   1   0   1   3   0   94   4   5   15   1895   -497.4   -377.3   657   0   CAL
7   1   1   0   1   3   0   94   4   4   14   1894   -463.0   -377.3   613   0   CAL
7   2   1   0   1   3   0   94   4   3   13   1893   -428.8   -377.3   555   0   CAL
7   3   1   0   1   3   0   94   4   2   12   1892   -394.5   -377.3   474   0   CAL
7   4   1   0   1   3   0   94   3   5   11   1891   -360.1   -377.3   381   0   CAL
