TABLE CalCosmicEnergyCalib
145,595.26,8.87,54.07,8.26,95.94,19.69,1.19749,437
146,751.23,9.84,82.17,9.62,32.06,27.58,1.04975,361
147,399.72,6.88,33.47,5.01,50.76,10.48,1.09595,336
148,561.64,8.84,54.90,8.81,80.89,17.95,1.05068,363
149,573.85,9.91,52.90,9.15,96.99,17.71,0.89156,360
150,652.63,12.10,40.56,9.52,117.66,16.35,0.61974,339
151,701.81,15.21,41.56,11.91,142.08,20.40,0.93302,344
152,618.91,12.24,78.63,15.60,85.47,22.36,1.19855,307
153,705.00,15.28,81.69,16.88,124.42,29.44,0.78140,310
154,512.94,10.06,62.83,11.57,68.33,19.60,0.96566,293
155,542.39,11.59,63.78,12.45,91.00,20.27,0.76263,295
156,583.30,17.31,38.66,13.98,146.90,20.00,0.86661,301
157,583.47,13.52,53.53,13.45,120.60,23.38,0.70858,297
158,527.26,12.01,39.91,10.59,85.76,16.18,1.27531,277
159,513.09,13.01,44.57,12.67,102.39,22.55,1.19603,278
160,535.86,15.17,65.63,15.59,116.03,24.01,0.65846,239
161,575.32,13.51,54.44,14.07,108.77,27.05,0.77391,240
162,589.99,23.31,65.66,23.67,160.89,31.11,1.20097,257
163,545.65,16.79,51.29,15.25,123.24,19.54,0.70338,253
164,550.97,0.04,65.01,20.44,31.00,1797.50,2.43946,254
165,583.21,19.03,60.71,19.54,146.70,28.51,1.14409,250
166,585.33,17.42,52.66,15.66,132.74,25.52,1.06626,249
167,584.49,15.56,67.62,18.01,118.55,21.88,0.69474,245
168,526.21,13.25,49.12,12.24,112.36,20.73,0.65099,275
169,576.17,17.30,43.17,13.74,142.67,23.14,0.80994,277
170,666.31,20.00,65.46,18.08,162.45,25.39,0.65324,321
171,685.18,21.57,51.19,16.29,172.49,21.80,0.78941,322
172,637.03,13.83,76.58,14.87,112.70,27.58,1.16248,305
173,634.50,15.20,58.78,14.73,134.45,26.81,0.66215,303
174,558.80,13.85,62.67,13.46,116.25,18.43,1.06726,339
175,562.24,12.48,65.17,13.69,72.05,30.17,1.28348,341
176,593.27,16.53,74.95,17.49,145.96,26.62,0.92347,337
177,581.89,22.47,58.42,18.81,191.53,32.44,1.03564,336
178,583.72,20.03,36.90,12.43,176.89,20.47,0.92722,375
179,546.61,14.73,53.86,13.21,138.76,15.67,1.06710,375
180,549.15,14.97,38.37,11.64,122.88,17.40,0.96034,314
181,569.08,14.18,45.47,11.49,124.69,18.27,0.67767,315
182,555.77,12.27,45.91,10.93,112.04,20.53,0.79873,294
183,534.98,13.72,38.44,11.66,116.48,18.69,1.20333,291
184,537.54,11.76,55.75,12.44,97.43,19.17,1.11618,286
185,546.47,11.12,79.43,12.94,50.37,28.42,0.74611,286
186,582.69,19.21,35.02,14.85,70.26,28.73,1.93687,284
187,544.52,16.92,18.20,9.36,120.48,13.86,1.25058,280
188,587.00,25.37,27.74,14.18,180.52,21.13,0.95686,295
189,562.32,16.28,50.72,13.79,138.54,18.31,0.83623,299
190,432.42,7.19,37.10,6.23,65.45,11.52,0.73678,332
191,451.66,7.15,46.61,6.87,58.58,11.00,0.41673,333
192,615.69,13.31,30.89,8.38,135.18,14.46,1.07841,423
193,619.41,13.75,41.44,10.01,144.57,15.43,1.03617,427
194,558.55,9.41,59.04,8.87,87.71,18.85,0.77393,401
195,561.84,10.41,61.80,9.93,89.72,18.40,0.92263,402
196,549.93,10.35,57.82,10.79,97.82,20.71,0.94718,349
197,572.63,9.39,49.88,9.54,89.70,21.62,1.19194,353
198,592.32,8.06,50.63,8.44,54.09,20.15,1.20923,369
199,693.96,9.51,48.81,9.15,90.36,16.43,0.95568,372
200,571.22,11.67,42.77,9.41,83.75,19.29,1.00600,350
201,561.36,11.07,36.19,8.52,93.98,16.40,0.88224,349
202,669.53,10.53,58.23,10.14,104.54,19.67,0.68963,378
203,686.33,14.26,58.23,11.75,143.43,19.90,0.62121,380
204,580.74,11.54,37.11,8.37,102.42,12.17,0.72451,364
205,552.80,12.67,47.89,11.26,118.79,17.08,0.64765,366
206,534.34,7.53,50.18,6.46,79.80,14.48,0.81891,476
207,564.99,6.91,48.57,6.85,74.72,13.62,1.16110,480
208,615.71,8.71,41.39,6.21,115.93,11.53,1.09073,621
209,593.14,6.70,49.07,5.91,84.66,12.37,1.12904,617
210,582.64,10.00,37.20,7.97,111.86,17.31,1.32083,446
211,595.51,11.90,30.15,7.82,101.63,11.35,1.63664,445
212,582.59,8.07,31.84,5.26,111.24,10.15,1.56800,670
213,564.13,9.29,24.78,5.04,127.00,9.28,1.05193,667
214,625.87,7.28,44.44,5.85,105.85,12.16,1.55930,745
215,628.58,7.79,30.85,5.05,109.79,11.57,1.74383,742
216,507.57,5.92,36.06,4.17,83.34,8.21,0.62811,817
217,498.22,5.98,28.32,3.56,81.49,6.47,1.12115,814
218,604.49,8.07,38.87,5.48,122.03,9.98,0.97155,781
219,615.74,7.66,47.56,6.26,115.43,13.08,1.38337,785
220,689.28,9.83,38.49,6.35,144.73,12.96,1.07839,779
221,708.78,11.06,39.74,6.77,153.65,13.11,0.93458,780
222,606.48,7.32,55.51,6.09,90.05,13.79,1.12638,652
